      Open     Close      Gain
    548.98    552.00      3.02
    544.21    545.17      0.96
    534.69    541.99      7.30
    536.80    530.69     -6.11
    523.66    530.26      6.60
    545.42    533.16    -12.26
    544.24    545.18      0.94
    548.17    544.47     -3.70
    541.56    542.44      0.88
    527.96    535.41      7.45
    521.31    525.76      4.45
    519.67    522.41      2.74
    515.08    516.39      1.31
    513.08    513.04     -0.04
    506.88    514.85      7.97
    503.11    502.12     -0.99
    491.50    502.21     10.71
    514.26    497.67    -16.59
    504.66    509.46      4.80
    499.53    502.60      3.07
    490.96    493.42      2.46
    480.76    493.17     12.41
    470.50    476.68      6.18
    465.25    468.83      3.58
    458.38    463.97      5.59
    457.30    459.68      2.38
    455.90    455.12     -0.78
    458.41    456.19     -2.22
    455.59    456.48      0.89
    445.71    453.01      7.30
    444.34    447.28      2.94
    448.36    444.63     -3.73
    454.44    446.66     -7.78
    425.10    420.41     -4.69
    422.67    427.41      4.74
    427.49    420.30     -7.19
    430.15    427.75     -2.40
    426.96    429.11      2.15
    424.20    424.70      0.50
    419.70    419.81      0.11
    422.28    421.39     -0.89
    422.68    422.55     -0.13
    425.91    423.24     -2.67
    425.50    421.73     -3.77
    419.77    422.40      2.63
    414.95    418.03      3.08
    410.00    413.44      3.44
    409.40    411.23      1.83
